Screen Name,Location,Tweet
ETRetail,"New Delhi, India","ETRetail | Saudi Arabia's PIF to invest Rs 9,555 cr in Reliance Retail for 2.04% stake #RelianceRetail… https://t.co/Ag571KkaAu"
IndianExpress,India,"RT @ExpressTechie: Reliance #Jio introduces 3 new prepaid JioPhone plans

https://t.co/gnSP79KNSm"
ExpressTechie,"New Delhi, Delhi","Reliance #Jio introduces 3 new prepaid JioPhone plans

https://t.co/gnSP79KNSm"
morya_shyam,India,"RT @pankaju17: Proud to be associated with the WT20 Challenge. Let's break boundaries together on and off the field ✨
@M_Raj03 @mandhana_sm…"
AjayKushwaha_,"Ghazipur UP, New Delhi, India","RT @pankaju17: Proud to be associated with the WT20 Challenge. Let's break boundaries together on and off the field ✨
@M_Raj03 @mandhana_sm…"
46_9003,,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/wU0vhcGMaw"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/IpJxO7szTI"
pankaju17,"New Delhi, India","Proud to be associated with the WT20 Challenge. Let's break boundaries together on and off the field ✨
@M_Raj03… https://t.co/z5ScFlxeYf"
care_DIR,WorldWideWeb,RT @kasifiqbal4700: Madhubani #jio store is worst store I visited ever. No one have time to look your issues. Store open on 11 am like (sar…
Chandra76600502,"New Delhi, India",It has been an absolute pleasure using #jio with such speed. The speed invigorated me to switch to another operator… https://t.co/ePuu5jEmSd
vikaspandey1704,"Greater Noida, India",@JioCare thanks #jio for amazing network and speed https://t.co/pmy6SWHT1o
TCMSportsIndia,"New Delhi, India",Twitter India and the Board of Control for Cricket in India (BCCI) on Monday joined hands to launch seven new custo… https://t.co/t7ZdPu90vv
Ratan18,Agra,"@elonmusk I hope @SpaceXStarlink will deliver good connectivity near by my home in D Taj Mahal city Agra India, Whi… https://t.co/aD9RCXD7bW"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/68UFLnPN4N"
ETTelecom,"Film City, Noida","ETTelecom | Telcos resist differential licensing, unbundling of layers; say move regressive #COAI #TelecomOperators… https://t.co/8Sd7R62AEO"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/dBklM0qt7C"
THiNK_ViSHi,"New Delhi, India","@fiber_jio
You guys do not offer the subscriptions as per the plans. Raised multiple complaints for the same never… https://t.co/P4bSuEiGam"
Lifeisall2020Pr,"New Delhi, India","RT @Lifeisall2020Pr: #JioFiber #Jio #jiospeed #jiopages @reliancejio @JioCare @fiber_jio  this is very disappointing, this is how you solve…"
ETTelecom,"Film City, Noida",ETTelecom | Forex traders track Google-Jio deal #Jio #CompetitionCommission #Facebook #JioNews #Industry #Google… https://t.co/SVdkfFWJ0J
BusinessConne16,Delhi,"Inter-Creditor Agreements (ICA) have been signed by Lenders to Future Group, opening the way for a possible restruc… https://t.co/CYE71dn6He"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/cfobJedfjX"
MicrosoftRTweet,From the Cloud,"RT @Krsiddharth_biz: Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are imp…"
Krsiddharth_biz,Ghaziabad,"Follow us on telegram for more:-
https://t.co/yUzZA0rtyX
Stay tuned and do like and comment on everyone if you are… https://t.co/NogVYA83Tw"
User Name,User Location,Tweet
ssllb_2022,"Tiruppur, India","Out of 20days only #jioFI is working 8-10 days only 3 days once the #4g network working in the city. 

There is no… https://t.co/oZYblRZz7j"
roobanponraj,"Chennai,India","ESNI with TLS1.3 f**ed you #jio 
Why doing too much traffic scanning, which creates worst TTFB"
karthik_nmkl,"Namakkal, India",@thenameisvelu It's working for #JIO https://t.co/YlZYOTX4KV
SargasmicNinja,Chennai,@hardikpandya7 @ishankishan51 &amp; @surya_14kumar are the best investment of #MukeshAmbani after #Jio
davkirbaby,"Chennai, India","I was keep on escalating to jio customer care and I appreciate their patience, they were not able to help me as the… https://t.co/ASvBlzVFgC"
_Gowtham_Shan_,"Tamil Nadu, India",Finally #RCS in #Googlemessage for #Jio numbers start rolling out in #India https://t.co/lxuerlc6wt
ramtweetshere,"Chennai, Tamil nadu, India","#NPCI gives #WhatsApp approval to launch on #UPI.

Whatsapp to work with five banks in India - #ICICI Bank, #HDFC b… https://t.co/bqNPyZZR9a"
gotocartik,Tiruppur,The worst Network Ever. @reliancejio @JioCare  I will not recomend Jio for anyone.I'll change my network to… https://t.co/Epva7GXuoY
aasaistar,"Tamil Nadu, India","#JeffBezos #amazon vs #jio I am Indian so I don’t like @mukeshambani .. farmers, poor peoples are very problems in… https://t.co/6g9IVkc6Ha"
Singappooraan,,I am waiting for a week to get my #Jio Fiber broadband relocated to the new address. The customer service sucks. Ke… https://t.co/1dGt22KMbZ
care_DIR,WorldWideWeb,RT @rajes_twits: What happened to this @JioCare internet service.. Its worst like anything... Very very poor data speed for the past 1 mont…
rajeshvky7,Pallavaram,@M_Raj03 and Team Velocity Congratulations and Best wishes for your first victory against supernovas.. #Jio #wt20challenge
rajeshvky7,Pallavaram,@M_Raj03 and Team #Velocity.. Congratulations and best wishes for your first victory on #Jio #WT20 Sushma made a super knock..
roopeshofficial,Chennai,"is anyone facing reduced data speed in Jio?  I'm noticing this since morning. 
@JioCare @reliancejio #jiospeed #Chennai"
VkTwisty,"Cuddalore, India","RT @C_urrentAffairs: #Jio Named Title Sponsor For 2020 Women’s #T20 Challenge.

And 

#BCCI signs three-year kit sponsorship deal with #MPL"
C_urrentAffairs,"Tamil Nadu, India","#Jio Named Title Sponsor For 2020 Women’s #T20 Challenge.

And 

#BCCI signs three-year kit sponsorship deal with #MPL"
ErDilip_Patidar,"Shujalpur, India",RT @the_hindu: Just in: SC says its needs access to optic fibre network for better video conferencing for courts across the country. Sr adv…
TradingHydra,"Chennai, India","#Reliance almost at lower circuit 

#Nifty #SGXNIFTY #StockMarket #COVID19 #coronavirus #DowJones #Modi  #zerodha… https://t.co/9rQBc9jnbp"
HarryAnalyst,"Chennai, India","@darshanvmehta1 Operationally #airtel had a better performance, even after all the offers of #Jio."
kants1983,"New Delhi, Delhi","RT @HarryAnalyst: #RELIANCE Q2 witnessed mixed performance, strong recovery in #Retail. Weak #Jio churn rate 5%, ARPU to Rs145 with 7.3mn n…"
HarryAnalyst,"Chennai, India","#RELIANCE Q2 witnessed mixed performance, strong recovery in #Retail. Weak #Jio churn rate 5%, ARPU to Rs145 with 7… https://t.co/mpku2iyGfS"
rajes_twits,"chennai,india",What happened to this @JioCare internet service.. Its worst like anything... Very very poor data speed for the past… https://t.co/lQIb6ZTSAZ
dt_next,"Chennai, India",The Board of Control for Cricket in India (#BCCI) on Sunday announced #Jio as the title sponsor of the 2020 edition… https://t.co/0pGA8EnJRZ
User Name,User Location,Tweet
hlrao27,"Hyderabad, India",@reliancejio @deepikapadukone @RanveerOfficial @JioCare I have a JioFiber connection and my internet connection is… https://t.co/Bnyx1NmyXD
hlrao27,"Hyderabad, India",@JioCare I have a JioFiber connection and my internet connection is down since two days. No technician has even vis… https://t.co/FDNlInNw8w
arabicaah,"Goa, India","So sick of #Jio's #FAIL network.. Can't even use Google Pay in #Caranzalem. Fix your shitty network, @JioCare. Seri… https://t.co/1is3rHeMBx"
vishaal_rai_,Goa,"Jio network sucks 
#jio #reliance #ambani #network #orlim #goa 
I complained nd thy responded tht ....ur problem ha… https://t.co/1hePNz10ca"
samzad52,"Kurnool, India","@JioCare 
#jio 4g Network issue in our area
#Hyderabad
Borabanda."
Kiranchintu2u,"Hyderabad, India",@fiber_jio #jio @reliancejio What a worst service you guys are provinding in Hyderabad. Your associates provides th… https://t.co/ZHyOe4EbEa
iamshaikadil,"Hyderabad, India","@reliancejio @JioCare Is this the 4g speed you are providing, i haven't used more than 50% of the data still it sho… https://t.co/BfsDjak6qt"
Ckchandra143,"Andhra Pradesh, India",Honestly I am writing this @reliancejio @Airtel_Presence @Speedtest I have jio and Airtel I checked today speed in… https://t.co/V9IlvufhZ3
vishal42004,vizag,"Maximum call drops on jio, what's happening??? #jio #MukeshAmbani #trai"
gautamnaidu,Hyderabad,"@JioCare #JioFiber #JIO couldn't connect to internet , cannot connect to call center like 2 hour in wait , your cha… https://t.co/JjbK63GMBd"
rameshkotnana1,"Hyderabad, India","Jio introduces new all-in-one plans with up to 504GB data with 336-day validity for JioPhone

#Jio has introduced t… https://t.co/TP7hZ3f4Aq"
VinodKumarReal,"Hyderabad, India",@reliancejio @JioCare   I recharged 51/- data plan on 4th November payment successful. but still not received my re… https://t.co/NJWRTywjDM
care_DIR,WorldWideWeb,RT @kranthintr: @JioCare worst network #jio https://t.co/FsuI3I5RbI
KambleRanu,belgaum,"Airtel network one of wrost network..#AirtelXstream #airtelnetwork #airtelcompany #airtelbharti #vodafone #jio,#idea https://t.co/GSc8yS3rvG"
PavanKumarVem10,"Secunderabad, India","Wht A Game At The End Of Last 5 Over In #WT20C Surbp Victory By #Velocity Vs #Supernovas 
Really A Good Tournament… https://t.co/MRl7Oijjse"
Vignesh3355,"Salem, India","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
mayurpr4,"Hyderabad, India",we are calling 1800-896-9999 after completing ivr for 15 min and waiting ...its says we will call you back and till… https://t.co/qrLra21f43
KrishnanathG,"Valpoi, India","@reliancejio @JioCare you came in market will 4G and now it's almost 2G, i think you are going with the saying ""Old… https://t.co/v4HejoGb53"
Triyambkam1,,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
_jcw_ekta_,"Gandhinagar, India","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
Ashutos9931,"Kolhapur, India","What a Speed😲!!!!
@reliancejio is this speed #jio4g or #jio5g?
@JioCare #Jio https://t.co/0XCwLAA7vs"
SulmanAlam7,,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
SakshiGarg0011,,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
yashusamsher,"Eluru, India","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
praveendixit91,New Delhi,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
TheAmtuk,,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
aks_anu7,India,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
kranthintr,Nellore,@JioCare worst network #jio https://t.co/FsuI3I5RbI
AlokKum43753352,,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
JParekh54,Gandhinagar Gujarat,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
TellisTanisha,"Goa, India","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
duke_gupta,"Delhi, Jhansi","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
RavikanthChavan,India ,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
ashishvasava62,Tamilnddu,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
BsKanjiyani,Worldwide ,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
Harsh1986Singh,India,"RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
NeemonaR,"Uttar Pradesh, India","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
GK4TSPSC,"Nalgonda, Telangana","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
balajimarees04,"Sattur, Virudhunagar,Tamilnadu","RT @BORN4WIN: India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
- #Gujarat

Which i…"
BORN4WIN,"Hyderabad, India","India’s first ‘tyre park’ to come up in?
- #WestBengal

PM Modi launches India’s 1st seaplane service in?
-… https://t.co/teYPWJiAB2"
kalyandarshanam,"Hyderabad, Andhra Pradesh",#RelianceJio #JIO I recharged my number with Rs501 ISD pack. It is shown in Queued status &amp; visible under upcoming… https://t.co/ANXtoUClBA
Ckchandra143,"Andhra Pradesh, India",@reliancejio @KKRiders First Fix network problems then promote jio Dhan dhan something like that worest internet Sp… https://t.co/NQNDRoHDS1
Ckchandra143,"Andhra Pradesh, India",LOL AM I JOKE To you  AND ALSO POSTPAID PLUS USER 😤 Really Poor Indoor And outdoor coverage now in my location Airt… https://t.co/ZwVpLOrDzw
Ckchandra143,"Andhra Pradesh, India","@JioCare @reliancejio  #JIO
#Reliance After a long time ago I am Idea user After ported to Airtel it was best that… https://t.co/3f58AEYx3n"
AmanGill_89,"Hyderabad, India","How did Bharti Airtel fare in the last quarter? 
Airtel is the only giant which is in real competition with the mam… https://t.co/TKDyjhbaQC"
User Name,User Location,Tweet
mbhuyan_,From Majuli.,"Truly disappointed by experiencing worst connectivity of Jio @reliancejio . 
Jio becoming worst day by day . #jiospeed @JioCare"
RajKowshik11,"Assam, India","Hi ,
This is an unsuccessful transaction msg.
Your last payment attempt of Rs. 51.00 on Oct 14, 2020 06:28:16 PM fo… https://t.co/wrOM2UMWaT"
SaikiaPranjit,"Guwahati, Assam, India",Since yesterday I have seen only this on my #JioFiber router. Recently blinking red light become a habit on Jio rou… https://t.co/BNTQP5QbmX
krish92A,"Assam, India",I have been very much frustrated with the network availability of #Jio since last 6 months and it is still continui… https://t.co/8MoGRuzXvz
AhmedNazmus,"Guwahati, Assam","@IzazAhm517 @reliancejio @JioCare Last time I had posted the same and they replied with the DM link, I have DM them… https://t.co/8knyrbQCLq"
AryanHayat20,Guwahati ,very soon everybody will start port to other networks from jio including me because of their  ** network services s… https://t.co/dZeAdTNonn
IzazAhm517,"Guwahati, India","@reliancejio @JioCare 
Really very disappointed with the service providing by Jio.
It's worse then 2G service.
#jiospeed #jiofailed"
KaalaTatta11,"Arunachal Pradesh, India","Just look at the condition of govt owned institution like #BSNL, #AirIndia #HAL and others while private institutio… https://t.co/9pims1NrPo"
pratidintime,"Guwahati, India","#SPORTS | Jio To Be Title Sponsor For Women’s T20: BCCI 
#Jio #BCCI #WomensT20 #TitleSponsor #Cricket
https://t.co/qEdTG02ULb @BCCI"
DY365,"Guwahati, India","#BCCI #Jio #Sponsor #WomensT20Challenge2020 #DY365
BCCI Announces Jio as title sponsor for 2020 Women's T20 Challen… https://t.co/M89Q6Qvev6"
SanjoyChanda,Guwahati,This is the kind of Jio service quality I am experiencing at this location. This is extremely slow.  Kindly improve… https://t.co/hRca8EC9Bn
VictorBorahMrZ,"Guwahati,India","What's happening to #Jio ? Betraying its customers over here in Biswanath ? PIN: 784176 And when we ask for help, a… https://t.co/1gBUx5cs1F"
User Name,User Location,Tweet
mbhuyan_,From Majuli.,"Truly disappointed by experiencing worst connectivity of Jio @reliancejio . 
Jio becoming worst day by day . #jiospeed @JioCare"
RajKowshik11,"Assam, India","Hi ,
This is an unsuccessful transaction msg.
Your last payment attempt of Rs. 51.00 on Oct 14, 2020 06:28:16 PM fo… https://t.co/wrOM2UMWaT"
Ripan_Das6,"Agartala, India",@reliancejio #Airtel vs #Jio i love airtel i ht jio https://t.co/yvGi3mUgSi
PowerSiliguri,"Siliguri, India","Follow us @PowerSiliguri

The Reserve Bank of India (#RBI) imposed #monetary #penalty on #DCB #Bank and #Jio… https://t.co/fJIzrEn267"
SaikiaPranjit,"Guwahati, Assam, India",Since yesterday I have seen only this on my #JioFiber router. Recently blinking red light become a habit on Jio rou… https://t.co/BNTQP5QbmX
krish92A,"Assam, India",I have been very much frustrated with the network availability of #Jio since last 6 months and it is still continui… https://t.co/8MoGRuzXvz
AhmedNazmus,"Guwahati, Assam","@IzazAhm517 @reliancejio @JioCare Last time I had posted the same and they replied with the DM link, I have DM them… https://t.co/8knyrbQCLq"
AryanHayat20,Guwahati ,very soon everybody will start port to other networks from jio including me because of their  ** network services s… https://t.co/dZeAdTNonn
IzazAhm517,"Guwahati, India","@reliancejio @JioCare 
Really very disappointed with the service providing by Jio.
It's worse then 2G service.
#jiospeed #jiofailed"
JhaArindam,"Raiganj, India",@Airtel_Presence  Got 6 1gb data promo after recharging with 598. 2 Redeemed but speed remains 64kbps. Facing same… https://t.co/oguADVv02w
pratidintime,"Guwahati, India","#SPORTS | Jio To Be Title Sponsor For Women’s T20: BCCI 
#Jio #BCCI #WomensT20 #TitleSponsor #Cricket
https://t.co/qEdTG02ULb @BCCI"
DY365,"Guwahati, India","#BCCI #Jio #Sponsor #WomensT20Challenge2020 #DY365
BCCI Announces Jio as title sponsor for 2020 Women's T20 Challen… https://t.co/M89Q6Qvev6"
SanjoyChanda,Guwahati,This is the kind of Jio service quality I am experiencing at this location. This is extremely slow.  Kindly improve… https://t.co/hRca8EC9Bn
VictorBorahMrZ,"Guwahati,India","What's happening to #Jio ? Betraying its customers over here in Biswanath ? PIN: 784176 And when we ask for help, a… https://t.co/1gBUx5cs1F"
User Name,User Location,Tweet
farooquiamir,"Allahabad, India","Finally I have completed porting of @ViCustomerCare #vodafoneindia to @JioCare @reliancejio .

Thanks #Jio for by providing Home service 🙏🙏"
Onlinegurupk2,"West Bengal, India","👍 on @YouTube: #Subhotam multitrade || How to Recharge Rs 1250 in Subhotam multitrade ||SMPLMART #JIO,#tech news,# https://t.co/aVoDMDt7Un"
Onlinegurupk2,"West Bengal, India","👍 on @YouTube: HOW TO EARN MONEY FROM HOME || SMPLMART BUSINESS plan || #SMPLMART #jiojob ,#jio #Recruitmen https://t.co/MErUNt6IpL"
ssonu325,India/Bihar,Sir please reduce the plan of jio 4G recharge for my entire village because we all are using 2g with speech cutting… https://t.co/ZVw6y95t7X
suraj_kashyap,Delhi,@reliancejio @DoT_India @TRAI totally shameless reply still saying we are working to improve I m not satisfied with… https://t.co/39m6BTIlsH
ms7239166,"Madhubani, India",#jio BC ye Amitabh Bachchan ke dial tune band kro.
realrohittiwari,Gorakhpur Uttar Pradesh India,Just joined @reliancejio #jio
_KRISHNA_NIHAL,"Ayodhya, India","@JioCare I thought I am choosing best network but now I feel it's my mistake .
@reliancejio giving one of the my ba… https://t.co/1GQeqZAl7F"
suraj_kashyap,Delhi,@DoT_India @TRAI @JioCare jio can't resolve issue. almost 4 years but they said we r working #jio lots of jio conne… https://t.co/dDRgrKQ9YG
espreson,"Asansol, India","Your #jio now faster with 1.1.1.1
https://t.co/iuXP1MwjkE"
shayarinsaan,"Patna, India","Today I have not turned on hotspotever once ,Now; what will you say this time?
#jio #JioCare #JioMart 
@reliancejio… https://t.co/dPPaSehkAD"
AMITKUM78655343,"Bihar, India","@JioCare YouTube, jio tv,app .
Anytime indoor Vs outdoor poor Gandha ghatiya internet speed and network single,… https://t.co/Sb29nFEUwO"
PowerSiliguri,"Siliguri, India","Follow us @PowerSiliguri

The Reserve Bank of India (#RBI) imposed #monetary #penalty on #DCB #Bank and #Jio… https://t.co/fJIzrEn267"
SatyamT90332105,"Varanasi, India","Facing internet speed problem with jio
Very annoying, frustrating service by jio
Guys switch to airtel it's over by… https://t.co/IxGz2l5LjU"
AshishVLohar,Azamgarh ,"RT @AshishVLohar: #jio 
Are you really had a 4g network...
Don't say that u are provided 4g network, such a poor network every time net spe…"
AshishVLohar,Azamgarh ,"#jio 
Are you really had a 4g network...
Don't say that u are provided 4g network, such a poor network every time n… https://t.co/DvLUZ6rnPQ"
AnchalTripati,"Allahabad, India",Dear #Jio stop caller tune about covid 19 guideline. Govt is not following covid guidelines in Bihar election.  Sto… https://t.co/ZyhF4Mcwc8
SumitRts,PKMKB & CKMKB,RT @AnchalTripati: Dear #RelianceJio stop caller tune about covid 19 guideline. Govt is not following covid guidelines in Bihar election.…
news24x75,,RT @AnchalTripati: Dear #RelianceJio stop caller tune about covid 19 guideline. Govt is not following covid guidelines in Bihar election.…
kaushal_agrawal,"Varanasi, India","Hey Jio why are you charging 4G rates and giving back Only 2G speed

Airtel have lot better speed than you
#Jio
@reliancejio"
bk877754,"Jharkhand, India",#IndiaForFreeSpeech do you know India can ban or boycott Chinese product but India can't boycott or forbid Chinese… https://t.co/VEZlKpjvvS
AnchalTripati,"Allahabad, India",Dear #RelianceJio stop caller tune about covid 19 guideline. Govt is not following covid guidelines in Bihar electi… https://t.co/sRiKMTWtXn
JhaArindam,"Raiganj, India",@Airtel_Presence  Got 6 1gb data promo after recharging with 598. 2 Redeemed but speed remains 64kbps. Facing same… https://t.co/oguADVv02w
KaushikGoswami7,"Jharkhand, India","@JioCare Amazing reply by #JIO, hat's off to your reply. Then why we'll pay full amount for data? That means you ar… https://t.co/Q2D0j5ozni"
thevipulraj,,"RT @pk_pikee: Confidence dekh rahe ho🤣
#airtel #jio #vodafoneindia https://t.co/lOQnF4e8qq"
Techsinghboy,"Patna, India","[RePost From @91Mobiles] Internet Speeds across Major Cities in India
#NetWork #Networking #InternetSpeed #Internet… https://t.co/bjvcSj9MRa"
pk_pikee,"Allahabad, India","Confidence dekh rahe ho🤣
#airtel #jio #vodafoneindia https://t.co/lOQnF4e8qq"
User Name,User Location,Tweet
Bsdji,"Nagpur, Maharashtra",#jiospeed again down the hill... @JioCare @reliancejio
hk_cool,Jabalpur,@JioCare jio net is so slow. Not able to use any app due this. This problem is not only with me but every #jio cust… https://t.co/Za0eGopQd5
Harish_khatua,balasore,#Jio network is not working properly at #cuttack
milan_786_,"Kanpur, Uttar Pradesh",RT @Aathwa_ajooba_: Jio is getting worst. The network here in bhubaneswar area sucks since past 15 days.. worst quality calls and internet…
Aathwa_ajooba_,Bhubaneshwar ,Jio is getting worst. The network here in bhubaneswar area sucks since past 15 days.. worst quality calls and inter… https://t.co/duQZEkmENk
51amitroy,"Chhattisgarh, India",#MukeshAmbani #jio #customercare the worst customer care i have ever seen. Not even receiving calls. Not solving th… https://t.co/4LhzQMV8mV
Dreamytalks1,"Orissa, India","Jio Announces Three JioPhone All-in-One Annual Plans...

#jiophone #jiophone3 #jio https://t.co/9pGxyODACy"
Dreamytalks1,"Orissa, India","Annual Prepaid Plans of Airtel and Jio...

#jio #airtel #jioplans #airtelplans #jioprepaid https://t.co/R2Z3LWBHb4"
tonybbsr,"Bengaluru, India",@JioCare @TRAI No update?? What happened to you jio? Are you guys are sleeping now?? @reliancegroup #slowestnetwork #Airtel #jio
shivkumar_jsr,"Gamharia, Saraikela Kharsawan",.@JioCare Since last couple of days I am facing the problem of very slow speed of data connectivity with my #Jio Pr… https://t.co/tAidXOsuFo
ankitinvests,"Raipur, India","its true. those who are using #JIO to log in #zerodha are unable to do so, I logged in using #airtel and its working fine...."
balasahebsangle,"Nagpur, India",Always mobile Network Problem of @JioCare at my place please do something voice clarity is very poor… https://t.co/Ae423JzYdR
DhiruSahoo,"Hyderabad, India",Please @JioCare  do something and resolve the issue asap. It is very difficult to work from home. A single web page… https://t.co/SW0LjXRQ0o
Dreamytalks1,"Orissa, India","India's Top Telco and Broadband Subscribers

#telco #broadband #airtel #jio #telcom #jiofiber #airtelfiber https://t.co/W5Z1m5v7n5"
Abhishe80625299,Bhubaneswar,Plz increase the speed .....  #jiospeed   #IncreaseTheSpeedOfJio https://t.co/LIzkTDin1K
Angry_mohan,"Bilaspur, India","Someone : jio to mast speed deta hai , fastest 4G hai.
#Slowspeedofjio
#jiospeed
Me: https://t.co/qeQyePjSbE"
pymacbit,"Raipur, India","So this is how #jio is sucking money from its users 😅😂 

Back to old days , where we used to pay for caller-tunes https://t.co/SyyRuWU0G2"
Ankitverm5,,RT @Abhishe80625299: Plz provide 4G network or just put your service. We are paying for 4g network and using like a 2G. Worst situation of…
rahul_g_goyal,"Bargarh, India",No doubt India's growing population is a  problem but the discounting strategy will also destroy the local markets.… https://t.co/s7aVbYh7rd
KaushikGoswami7,"Jharkhand, India","@Airtel_Presence I'm satisfied right now, even with your customer care service. This message is actually for #jio"
quantumudit,"Bhubaneshwar, India","Received the perfect WFH kit... Its time to start my new job 🤩✌

#wfh #hp #elitebook #jio #goodies #analytics… https://t.co/fD0rfZj6J5"
mymads,"Nagpur, India","@JioCare worst ever service(that too in a city), from the last 3 days no technical person is visiting, and why shou… https://t.co/DX6CCPM4fX"
Abhishe80625299,Bhubaneswar,Plz provide 4G network or just put your service. We are paying for 4g network and using like a 2G. Worst situation… https://t.co/0M3WTCohuz
User Name,User Location,Tweet
arabicaah,"Goa, India","So sick of #Jio's #FAIL network.. Can't even use Google Pay in #Caranzalem. Fix your shitty network, @JioCare. Seri… https://t.co/1is3rHeMBx"
vishaal_rai_,Goa,"Jio network sucks 
#jio #reliance #ambani #network #orlim #goa 
I complained nd thy responded tht ....ur problem ha… https://t.co/1hePNz10ca"
samzad52,"Kurnool, India","@JioCare 
#jio 4g Network issue in our area
#Hyderabad
Borabanda."
KambleRanu,belgaum,"Airtel network one of wrost network..#AirtelXstream #airtelnetwork #airtelcompany #airtelbharti #vodafone #jio,#idea https://t.co/GSc8yS3rvG"
KrishnanathG,"Valpoi, India","@reliancejio @JioCare you came in market will 4G and now it's almost 2G, i think you are going with the saying ""Old… https://t.co/v4HejoGb53"
